100,58621
99,58354
98,57681
97,56157
96,58244
95,58810
94,58030
93,58063
92,58655
91,58855
90,58932
89,58671
88,57176
87,54863
86,55916
85,54014
84,51989
83,54175
82,54346
81,54610
80,57792
79,58466
78,58426
77,57533
76,57834
75,56379
74,56398
73,60173
72,61002
71,56981
70,57721
69,56932
68,54313
67,51896
66,50104
65,48583
64,49138
63,47924
62,50952
61,47477
60,48844
59,45255
58,46844
57,45621
56,48199
55,48720
54,48016
53,54919
52,57332
51,56501
50,55493
49,52059
48,52333
47,48642
46,48183
45,48921
44,47210
43,47853
42,46943
41,45039
40,47357
39,44797
38,38610
37,40103
36,37853
35,37712
34,37284
33,35686
32,33667
31,32626
30,34649
29,34715
28,33274
27,31030
26,31993
25,32643
24,31934
23,32340
22,33375
21,31275
20,34892
19,36494
18,36255
17,36530
16,35785
15,36324
14,38863
13,37248
12,34766
11,34184
10,37984
9,40769
8,39927
7,39596
6,35848
5,33788
4,31027
3,33581
2,31690
1,29259
